,root,expiry,strike,optiontype,mid_price,bid_size,bid_price,ask_size,ask_price,open_interest,mark_price,exchange_time,ttm,mat_id
1400,SPXW,2024-05-24,1400,C,0.0,1,3894.9,40,3909.8,6,3902.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
1400,SPXW,2024-05-24,1400,P,0.0,0,0.0,1560,0.05,0,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
1600,SPXW,2024-05-24,1600,C,0.0,1,3694.9,40,3709.8,0,3702.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
1600,SPXW,2024-05-24,1600,P,0.0,0,0.0,1116,0.05,0,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
1800,SPXW,2024-05-24,1800,C,0.0,1,3494.9,40,3509.8,0,3502.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
1800,SPXW,2024-05-24,1800,P,0.0,0,0.0,1116,0.05,0,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2000,SPXW,2024-05-24,2000,C,0.0,1,3294.9,40,3309.8,0,3302.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2000,SPXW,2024-05-24,2000,P,0.0,0,0.0,1058,0.05,40,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2200,SPXW,2024-05-24,2200,C,0.0,1,3094.9,40,3109.8,0,3102.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2200,SPXW,2024-05-24,2200,P,0.0,0,0.0,738,0.05,122,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2400,SPXW,2024-05-24,2400,C,0.0,1,2894.9,40,2909.8,3,2902.3500000000004,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2400,SPXW,2024-05-24,2400,P,0.0,0,0.0,731,0.05,111,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2600,SPXW,2024-05-24,2600,C,0.0,1,2694.9,40,2709.5,0,2702.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2600,SPXW,2024-05-24,2600,P,0.0,0,0.0,1426,0.05,809,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2800,SPXW,2024-05-24,2800,C,0.0,1,2494.9,40,2509.5,0,2502.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
2800,SPXW,2024-05-24,2800,P,0.0,0,0.0,737,0.05,121,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3000,SPXW,2024-05-24,3000,C,0.0,1,2294.9,40,2309.5,0,2302.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3000,SPXW,2024-05-24,3000,P,0.0,0,0.0,1309,0.05,693,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3200,SPXW,2024-05-24,3200,C,0.0,1,2094.9,40,2109.5,0,2102.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3200,SPXW,2024-05-24,3200,P,0.0,0,0.0,1018,0.05,402,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3400,SPXW,2024-05-24,3400,C,0.0,1,1894.9,40,1909.5,0,1902.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3400,SPXW,2024-05-24,3400,P,0.0,0,0.0,882,0.05,265,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3500,SPXW,2024-05-24,3500,C,0.0,1,1794.9,40,1809.5,1,1802.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3500,SPXW,2024-05-24,3500,P,0.0,0,0.0,973,0.05,356,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3600,SPXW,2024-05-24,3600,C,0.0,1,1694.9,40,1709.5,0,1702.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3600,SPXW,2024-05-24,3600,P,0.0,0,0.0,1718,0.05,1768,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3700,SPXW,2024-05-24,3700,C,0.0,1,1594.9,40,1609.5,0,1602.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3700,SPXW,2024-05-24,3700,P,0.0,0,0.0,1610,0.05,2443,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3800,SPXW,2024-05-24,3800,C,0.0,1,1494.9,40,1509.5,0,1502.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3800,SPXW,2024-05-24,3800,P,0.0,0,0.0,1614,0.05,4656,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3900,SPXW,2024-05-24,3900,C,0.0,1,1394.9,40,1409.5,1,1402.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3900,SPXW,2024-05-24,3900,P,0.0,0,0.0,1615,0.05,10586,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3950,SPXW,2024-05-24,3950,C,0.0,1,1344.9,40,1359.5,0,1352.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
3950,SPXW,2024-05-24,3950,P,0.0,0,0.0,964,0.05,348,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4000,SPXW,2024-05-24,4000,C,0.0,1,1294.9,40,1309.5,8905,1302.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4000,SPXW,2024-05-24,4000,P,0.0,0,0.0,1613,0.05,11404,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4050,SPXW,2024-05-24,4050,C,0.0,1,1244.9,40,1259.5,0,1252.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4050,SPXW,2024-05-24,4050,P,0.0,0,0.0,1010,0.05,483,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
