,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
0,455.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,83.07050515077108,92.8,93.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,9.0,8.0,18Jun2024,455.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
1,457.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,81.08271534693934,90.69,91.37,1.0,1.0,,,,1.0,0.0,0.0,0.0,3001.0,1.0,18Jun2024,457.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
2,460.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,78.13106486762973,87.79,88.37,1.0,1.0,,,,1.0,0.0,0.0,0.0,5.0,5.0,18Jun2024,460.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
3,462.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,76.18330594719006,85.68,86.38,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,18Jun2024,462.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
4,470.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,68.45241372060205,77.82,78.39,1.0,1.0,,,,1.0,0.0,0.0,0.0,5.0,2.0,18Jun2024,470.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
5,475.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,63.640207377944996,72.83,73.36,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,18Jun2024,475.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
6,480.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,58.851773495839616,67.81,68.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,3.0,1.0,18Jun2024,480.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
7,482.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,56.952606277683486,65.73,66.32,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,,18Jun2024,482.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
8,485.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,54.13233388827278,62.79,63.3,1.0,1.0,,,,1.0,0.0,0.0,0.0,5000.0,380.0,18Jun2024,485.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
9,487.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,52.2704637151484,60.79,61.33,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,18Jun2024,487.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
10,488.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,51.355329486669454,59.79,60.37,1.0,1.0,,,,1.0,0.0,0.0,0.0,51.0,1.0,18Jun2024,488.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
11,489.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,50.46056550852033,58.84,59.39,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,18Jun2024,489.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
12,490.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,49.58512915129921,57.79,58.33,1.0,1.0,,,,1.0,0.0,0.0,0.0,202.0,30.0,18Jun2024,490.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
13,495.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,45.261770568325716,52.79,53.35,1.0,1.0,,,,1.0,0.0,0.0,0.0,5.0,5.0,18Jun2024,495.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
14,496.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,44.402695616565474,51.6,52.61,1.0,1.0,,,2.606632480573376,1.0,0.0,0.0,0.0,1.0,1.0,18Jun2024,496.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
15,497.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,43.55076439995084,50.63,51.32,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,18Jun2024,497.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
16,498.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,42.703157872574074,49.49,50.67,1.0,1.0,,,2.6766590291924595,1.0,0.0,0.0,0.0,8.0,1.0,18Jun2024,498.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
17,499.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,41.85631052392519,48.79,49.38,1.0,1.0,,,,1.0,0.0,0.0,0.0,2.0,1.0,18Jun2024,499.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
18,500.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,41.009561117671254,47.78,48.68,1.0,1.0,,,2.6035660605903654,1.0,0.0,0.0,0.0,3.0,2.0,18Jun2024,500.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
19,501.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,40.16290955430524,46.78,47.68,1.0,1.0,,,2.5554792220509728,1.0,0.0,0.0,0.0,42.0,9.0,18Jun2024,501.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
20,503.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,38.469803027346174,44.54,45.65,1.0,1.0,,,2.3923152303233093,1.0,0.0,0.0,0.0,15.0,15.0,18Jun2024,503.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
21,504.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,37.6233478925514,43.43,44.6,1.0,1.0,,,2.213042523771999,1.0,0.0,0.0,0.0,2.0,,18Jun2024,504.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
22,505.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,36.776990144854715,42.54,43.63,1.0,1.0,,,2.2499883571077484,1.0,0.0,0.0,0.0,4.0,2.0,18Jun2024,505.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
23,506.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,35.93072966201228,41.44,42.59,1.0,1.0,,,2.092437830742755,1.0,0.0,0.0,0.0,0.0,,18Jun2024,506.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
24,508.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,34.23840440428266,39.43,40.59,1.0,1.0,,,2.003187903497275,1.0,0.0,0.0,0.0,1.0,,18Jun2024,508.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
25,510.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,32.54627602744839,37.45,38.59,1.0,1.0,,,1.913849558673407,1.0,0.0,0.0,0.0,12.0,11.0,18Jun2024,510.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
26,511.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,31.700309304378745,36.57,37.56,1.0,1.0,,,1.7706743385396688,1.0,0.0,0.0,0.0,21.0,16.0,18Jun2024,511.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
27,513.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,30.00857059152142,34.43,35.56,1.0,1.0,,,1.6848542726529054,1.0,0.0,0.0,0.0,821.0,1.0,18Jun2024,513.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
28,514.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,29.1627984026903,33.46,34.57,1.0,1.0,,,1.675726211726921,1.0,0.0,0.0,0.0,70.0,70.0,18Jun2024,514.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
29,515.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,28.31712230413817,32.45,33.6,1.0,1.0,,,1.7157159389069958,1.0,0.0,0.0,0.0,29.0,26.0,18Jun2024,515.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
30,516.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,27.47154216241795,31.49,32.57,1.0,1.0,,,1.58831461712006,1.0,0.0,0.0,0.0,1.0,2.0,18Jun2024,516.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
